LastUpdate,Asset,AssetId,TotalNetGeneration
"Last Update : Nov 07, 2025 10:38","WIND","Ardenville Wind","ARD1","65"
"Last Update : Nov 07, 2025 10:38","WIND","BUL1 Bull Creek","BUL1","3"
"Last Update : Nov 07, 2025 10:38","WIND","BUL2 Bull Creek","BUL2","3"
"Last Update : Nov 07, 2025 10:38","WIND","Blackspring Ridge","BSR1","261"
"Last Update : Nov 07, 2025 10:38","WIND","Blue Trail Wind","BTR1","65"
"Last Update : Nov 07, 2025 10:38","WIND","Buffalo Atlee 1","BFL1","10"
"Last Update : Nov 07, 2025 10:38","WIND","Buffalo Atlee 2","BFL2","7"
"Last Update : Nov 07, 2025 10:38","WIND","Buffalo Atlee 3","BFL3","11"
"Last Update : Nov 07, 2025 10:38","WIND","Buffalo Atlee 4","BFL4","3"
"Last Update : Nov 07, 2025 10:38","WIND","Buffalo Plains","BPW1","183"
"Last Update : Nov 07, 2025 10:38","WIND","Castle River #1","CR1","38"
"Last Update : Nov 07, 2025 10:38","WIND","Castle Rock Ridge 2","CRR2","29"
"Last Update : Nov 07, 2025 10:38","WIND","Castle Rock Wind Farm","CRR1","71"
"Last Update : Nov 07, 2025 10:38","WIND","Cowley Ridge","CRE3","7"
"Last Update : Nov 07, 2025 10:38","WIND","Cypress 1","CYP1","86"
"Last Update : Nov 07, 2025 10:38","WIND","Cypress 2","CYP2","17"
"Last Update : Nov 07, 2025 10:38","WIND","Enmax Taber","TAB1","35"
"Last Update : Nov 07, 2025 10:38","WIND","Forty Mile Bow Island","FRM1","122"
"Last Update : Nov 07, 2025 10:38","WIND","Forty Mile Granlea","FMG1","92"
"Last Update : Nov 07, 2025 10:38","WIND","Garden Plain","GDP1","53"
"Last Update : Nov 07, 2025 10:38","WIND","Ghost Pine","NEP1","1"
"Last Update : Nov 07, 2025 10:38","WIND","Grizzly Bear","GRZ1","16"
"Last Update : Nov 07, 2025 10:38","WIND","Halkirk 2","HAL2","0"
"Last Update : Nov 07, 2025 10:38","WIND","Halkirk Wind Power Facility","HAL1","59"
"Last Update : Nov 07, 2025 10:38","WIND","Hand Hills","HHW1","12"
"Last Update : Nov 07, 2025 10:38","WIND","Hilda Wind","HLD1","24"
"Last Update : Nov 07, 2025 10:38","WIND","Jenner 1","JNR1","78"
"Last Update : Nov 07, 2025 10:38","WIND","Jenner 2","JNR2","56"
"Last Update : Nov 07, 2025 10:38","WIND","Jenner 3","JNR3","70"
"Last Update : Nov 07, 2025 10:38","WIND","Kettles Hill","KHW1","51"
"Last Update : Nov 07, 2025 10:38","WIND","Lanfine Wind","LAN1","135"
"Last Update : Nov 07, 2025 10:38","WIND","McBride Lake Windfarm","AKE1","69"
"Last Update : Nov 07, 2025 10:38","WIND","Oldman 2 Wind Farm 1","OWF1","45"
"Last Update : Nov 07, 2025 10:38","WIND","Paintearth Wind Project","PAW1","58"
"Last Update : Nov 07, 2025 10:38","WIND","Rattlesnake Ridge Wind","RTL1","56"
"Last Update : Nov 07, 2025 10:38","WIND","Riverview","RIV1","102"
"Last Update : Nov 07, 2025 10:38","WIND","Sharp Hill Wind","SHH1","211"
"Last Update : Nov 07, 2025 10:38","WIND","Soderglen Wind","GWW1","71"
"Last Update : Nov 07, 2025 10:38","WIND","Stirling Wind","SWP1","109"
"Last Update : Nov 07, 2025 10:38","WIND","Summerview 1","IEW1","50"
"Last Update : Nov 07, 2025 10:38","WIND","Summerview 2","IEW2","62"
"Last Update : Nov 07, 2025 10:38","WIND","Suncor Chin Chute","SCR3","22"
"Last Update : Nov 07, 2025 10:38","WIND","Suncor Magrath","SCR2","27"
"Last Update : Nov 07, 2025 10:38","WIND","Wheatland Wind","WHE1","0"
"Last Update : Nov 07, 2025 10:38","WIND","Whitla 1","WHT1","92"
"Last Update : Nov 07, 2025 10:38","WIND","Whitla 2","WHT2","66"
"Last Update : Nov 07, 2025 10:38","WIND","Wild Rose","WIR1","88"
"Last Update : Nov 07, 2025 10:38","WIND","Windrise","WRW1","177"
"Last Update : Nov 07, 2025 10:38","WIND","Winnifred Wind","WIN1","50"
"Last Update : Nov 07, 2025 10:38","WIND","Wintering Hills","SCR4","0"
