LastUpdate,AssetName,AssetId,TotalNetGeneration
"Last Update : Nov 08, 2025 17:22","WIND - Ardenville Wind","ARD1","68"
"Last Update : Nov 08, 2025 17:22","WIND - BUL1 Bull Creek","BUL1","13"
"Last Update : Nov 08, 2025 17:22","WIND - BUL2 Bull Creek","BUL2","16"
"Last Update : Nov 08, 2025 17:22","WIND - Blackspring Ridge","BSR1","300"
"Last Update : Nov 08, 2025 17:22","WIND - Blue Trail Wind","BTR1","66"
"Last Update : Nov 08, 2025 17:22","WIND - Buffalo Atlee 1","BFL1","18"
"Last Update : Nov 08, 2025 17:22","WIND - Buffalo Atlee 2","BFL2","16"
"Last Update : Nov 08, 2025 17:22","WIND - Buffalo Atlee 3","BFL3","18"
"Last Update : Nov 08, 2025 17:22","WIND - Buffalo Atlee 4","BFL4","11"
"Last Update : Nov 08, 2025 17:22","WIND - Buffalo Plains","BPW1","466"
"Last Update : Nov 08, 2025 17:22","WIND - Castle River #1","CR1","39"
"Last Update : Nov 08, 2025 17:22","WIND - Castle Rock Ridge 2","CRR2","29"
"Last Update : Nov 08, 2025 17:22","WIND - Castle Rock Wind Farm","CRR1","77"
"Last Update : Nov 08, 2025 17:22","WIND - Cowley Ridge","CRE3","20"
"Last Update : Nov 08, 2025 17:22","WIND - Cypress 1","CYP1","196"
"Last Update : Nov 08, 2025 17:22","WIND - Cypress 2","CYP2","46"
"Last Update : Nov 08, 2025 17:22","WIND - Enmax Taber","TAB1","81"
"Last Update : Nov 08, 2025 17:22","WIND - Forty Mile Bow Island","FRM1","266"
"Last Update : Nov 08, 2025 17:22","WIND - Forty Mile Granlea","FMG1","220"
"Last Update : Nov 08, 2025 17:22","WIND - Garden Plain","GDP1","130"
"Last Update : Nov 08, 2025 17:22","WIND - Ghost Pine","NEP1","82"
"Last Update : Nov 08, 2025 17:22","WIND - Grizzly Bear","GRZ1","152"
"Last Update : Nov 08, 2025 17:22","WIND - Halkirk 2","HAL2","122"
"Last Update : Nov 08, 2025 17:22","WIND - Halkirk Wind Power Facility","HAL1","150"
"Last Update : Nov 08, 2025 17:22","WIND - Hand Hills","HHW1","145"
"Last Update : Nov 08, 2025 17:22","WIND - Hilda Wind","HLD1","100"
"Last Update : Nov 08, 2025 17:22","WIND - Jenner 1","JNR1","122"
"Last Update : Nov 08, 2025 17:22","WIND - Jenner 2","JNR2","71"
"Last Update : Nov 08, 2025 17:22","WIND - Jenner 3","JNR3","109"
"Last Update : Nov 08, 2025 17:22","WIND - Kettles Hill","KHW1","63"
"Last Update : Nov 08, 2025 17:22","WIND - Lanfine Wind","LAN1","151"
"Last Update : Nov 08, 2025 17:22","WIND - McBride Lake Windfarm","AKE1","73"
"Last Update : Nov 08, 2025 17:22","WIND - Oldman 2 Wind Farm 1","OWF1","46"
"Last Update : Nov 08, 2025 17:22","WIND - Paintearth Wind Project","PAW1","198"
"Last Update : Nov 08, 2025 17:22","WIND - Rattlesnake Ridge Wind","RTL1","130"
"Last Update : Nov 08, 2025 17:22","WIND - Riverview","RIV1","105"
"Last Update : Nov 08, 2025 17:22","WIND - Sharp Hill Wind","SHH1","297"
"Last Update : Nov 08, 2025 17:22","WIND - Soderglen Wind","GWW1","71"
"Last Update : Nov 08, 2025 17:22","WIND - Stirling Wind","SWP1","113"
"Last Update : Nov 08, 2025 17:22","WIND - Summerview 1","IEW1","66"
"Last Update : Nov 08, 2025 17:22","WIND - Summerview 2","IEW2","66"
"Last Update : Nov 08, 2025 17:22","WIND - Suncor Chin Chute","SCR3","30"
"Last Update : Nov 08, 2025 17:22","WIND - Suncor Magrath","SCR2","30"
"Last Update : Nov 08, 2025 17:22","WIND - Wheatland Wind","WHE1","120"
"Last Update : Nov 08, 2025 17:22","WIND - Whitla 1","WHT1","202"
"Last Update : Nov 08, 2025 17:22","WIND - Whitla 2","WHT2","151"
"Last Update : Nov 08, 2025 17:22","WIND - Wild Rose","WIR1","192"
"Last Update : Nov 08, 2025 17:22","WIND - Windrise","WRW1","207"
"Last Update : Nov 08, 2025 17:22","WIND - Winnifred Wind","WIN1","136"
"Last Update : Nov 08, 2025 17:22","WIND - Wintering Hills","SCR4","88"
